msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919992220001,rtxyzr,lwrwes,Pakisthan,rtxyzr@gmail.com,Korean,Mandarin,212,No,30
919992220002,pyqgmx,mtxvbl,Korea,pyqgmx@gmail.com,English,Spanish,351,Yes,60
919992220003,wblysq,utxxgb,USA,wblysq@gmail.com,English,Mandarin,171,No,64
919992220004,rtduiu,rlykrp,Korea,rtduiu@gmail.com,Hindi,Spanish,32,Yes,30
919992220005,dmwprs,jpvgak,Pakisthan,dmwprs@gmail.com,Korean,Urdu,310,No,72
919992220006,vjbcmh,ltoveq,USA,vjbcmh@gmail.com,Hindi,Urdu,174,No,68
919992220007,uutevy,mxunrs,USA,uutevy@gmail.com,Malayalam,Mandarin,391,No,49
919992220008,ikdici,gueefx,India,ikdici@gmail.com,English,Tamil,287,Yes,38
919992220009,xmjokz,smqnel,Pakisthan,xmjokz@gmail.com,Korean,Mandarin,15,No,17
919992220010,tzzxtl,gslwdy,Pakisthan,tzzxtl@gmail.com,English,Spanish,157,No,46
919992220011,pnauqy,lfywms,India,pnauqy@gmail.com,Korean,Mandarin,76,No,31
919992220012,vzmwrn,sppnzw,USA,vzmwrn@gmail.com,Korean,Spanish,124,Yes,24
919992220013,prxkve,rhavbn,India,prxkve@gmail.com,Korean,Spanish,51,No,17
919992220014,qbtpwt,jzmflf,India,qbtpwt@gmail.com,Hindi,Urdu,10,Yes,52
919992220015,wrfhtb,apgjwy,Korea,wrfhtb@gmail.com,English,Mandarin,55,No,18
919992220016,gfzqnd,lttrwy,USA,gfzqnd@gmail.com,Malayalam,Mandarin,3,No,40
919992220017,qukzsx,jtqbeq,USA,qukzsx@gmail.com,Malayalam,Spanish,85,Yes,60
919992220018,qxfsnn,cmyerk,Korea,qxfsnn@gmail.com,Korean,Spanish,127,No,40
919992220019,jainiv,pzeqzt,USA,jainiv@gmail.com,Korean,Spanish,253,No,63
919992220020,rnvrvv,ermfrc,Pakisthan,rnvrvv@gmail.com,Malayalam,Tamil,235,No,53
919992220021,ofljiq,osuqqk,India,ofljiq@gmail.com,Korean,Tamil,159,No,37
919992220022,hutzfh,kfvpsx,Pakisthan,hutzfh@gmail.com,Korean,Tamil,320,Yes,25
919992220023,alqxsa,kfqfxb,Korea,alqxsa@gmail.com,Malayalam,Spanish,207,No,46
919992220024,uzgxna,aeogho,Korea,uzgxna@gmail.com,Korean,Urdu,195,Yes,56
919992220025,drlyll,iplzao,Pakisthan,drlyll@gmail.com,Hindi,Urdu,53,No,64
919992220026,huaxzg,cpheca,Korea,huaxzg@gmail.com,English,Mandarin,73,Yes,55
919992220027,cjpxjo,gjtkqr,USA,cjpxjo@gmail.com,Korean,Spanish,69,Yes,16
919992220028,zfcyqw,uwndxi,India,zfcyqw@gmail.com,Korean,Tamil,246,Yes,19
919992220029,yjqnla,uknjsx,Korea,yjqnla@gmail.com,English,Urdu,392,Yes,40
919992220030,lhcuhy,ulttvv,Pakisthan,lhcuhy@gmail.com,English,Urdu,290,Yes,67
919992220031,lerbrk,wuozpn,India,lerbrk@gmail.com,English,Urdu,53,No,53
919992220032,zmzstc,avqnum,Pakisthan,zmzstc@gmail.com,Hindi,Mandarin,104,No,35
919992220033,afbwkw,pztecb,Korea,afbwkw@gmail.com,Korean,Tamil,14,Yes,54
919992220034,dywken,yjdhpi,Korea,dywken@gmail.com,Malayalam,Mandarin,76,No,68
919992220035,tpxmhy,jetcdi,USA,tpxmhy@gmail.com,Korean,Mandarin,58,Yes,71
919992220036,rqyogc,xrrlux,Korea,rqyogc@gmail.com,Malayalam,Urdu,72,Yes,52
919992220037,bovowg,iucxlp,Korea,bovowg@gmail.com,Malayalam,Tamil,76,No,31
919992220038,gxcupj,acgmpf,India,gxcupj@gmail.com,English,Spanish,227,No,70
919992220039,klwawv,nwyahi,Pakisthan,klwawv@gmail.com,Hindi,Mandarin,111,No,49
919992220040,aougue,xdrput,India,aougue@gmail.com,Malayalam,Tamil,94,Yes,32
919992220041,lfgqzf,sqrxqy,Korea,lfgqzf@gmail.com,Malayalam,Tamil,254,No,66
919992220042,bjtdum,xadffd,Korea,bjtdum@gmail.com,Malayalam,Spanish,363,No,62
919992220043,bvuxnk,egcyaw,Pakisthan,bvuxnk@gmail.com,English,Urdu,67,Yes,48
919992220044,xrsaac,iwmeqs,India,xrsaac@gmail.com,English,Urdu,364,No,19
919992220045,hpbvnt,rhcezy,India,hpbvnt@gmail.com,Hindi,Mandarin,91,No,19
919992220046,qhoglw,czgiul,India,qhoglw@gmail.com,English,Tamil,341,Yes,52
919992220047,clfmog,taycyv,Korea,clfmog@gmail.com,Korean,Spanish,36,No,68
919992220048,qhsyer,drazen,Korea,qhsyer@gmail.com,English,Spanish,287,No,48
919992220049,lljkzt,ienbco,Korea,lljkzt@gmail.com,English,Urdu,292,Yes,48
919992220050,uahewt,mcrixi,USA,uahewt@gmail.com,Korean,Urdu,122,No,67
