msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919915230001,lhzdrw,sdiejr,Pakisthan,lhzdrw@gmail.com,English,Urdu,332,No,55
919915230002,gugvct,ggkipp,Korea,gugvct@gmail.com,Hindi,Tamil,64,Yes,15
919915230003,zblibu,jkkcfb,USA,zblibu@gmail.com,Malayalam,Tamil,176,Yes,41
919915230004,cwewrt,ywvghv,Pakisthan,cwewrt@gmail.com,Malayalam,Tamil,310,No,37
919915230005,nwirsa,bcigeu,USA,nwirsa@gmail.com,Korean,Urdu,11,Yes,26
919915230006,wkqzua,trbear,Pakisthan,wkqzua@gmail.com,Hindi,Spanish,181,Yes,73
919915230007,uoatqv,jxcure,India,uoatqv@gmail.com,English,Spanish,130,Yes,38
919915230008,vtkfbs,slfnqy,Pakisthan,vtkfbs@gmail.com,English,Mandarin,70,No,33
919915230009,ueydgr,ewmstw,India,ueydgr@gmail.com,English,Spanish,254,Yes,45
919915230010,qwimjd,eqomgn,Korea,qwimjd@gmail.com,Hindi,Mandarin,63,Yes,61
919915230011,qmcjte,xypwjq,USA,qmcjte@gmail.com,Hindi,Urdu,148,Yes,41
919915230012,memezr,rzdsbi,Pakisthan,memezr@gmail.com,Malayalam,Urdu,59,Yes,32
919915230013,rnyooa,phsufy,India,rnyooa@gmail.com,Korean,Tamil,126,No,71
919915230014,jbbxpq,mizjhn,USA,jbbxpq@gmail.com,Hindi,Mandarin,339,Yes,67
919915230015,jiajog,rlkiso,Pakisthan,jiajog@gmail.com,English,Spanish,57,No,63
919915230016,hhzdwd,qwvqxc,Pakisthan,hhzdwd@gmail.com,English,Spanish,124,Yes,47
919915230017,nwnoqi,uvdlax,USA,nwnoqi@gmail.com,Korean,Tamil,156,Yes,74
919915230018,hxnzau,romqvn,India,hxnzau@gmail.com,Korean,Spanish,382,No,43
919915230019,khunup,znqdis,Korea,khunup@gmail.com,Malayalam,Mandarin,289,Yes,16
919915230020,ptxyup,hmdrwf,USA,ptxyup@gmail.com,English,Tamil,45,No,52
919915230021,bdginl,kfwfqu,USA,bdginl@gmail.com,Malayalam,Urdu,50,Yes,17
919915230022,zfksvr,ldzuiq,India,zfksvr@gmail.com,English,Spanish,136,Yes,74
919915230023,ayonka,dnovkh,Korea,ayonka@gmail.com,Hindi,Tamil,243,Yes,32
919915230024,vfwwhb,amlvxe,Korea,vfwwhb@gmail.com,English,Spanish,267,No,17
919915230025,nshsse,oqbdnu,USA,nshsse@gmail.com,Hindi,Spanish,327,No,19
919915230026,zaorfk,zwdsil,Korea,zaorfk@gmail.com,Korean,Urdu,290,Yes,73
919915230027,nvyjgn,xacovz,Pakisthan,nvyjgn@gmail.com,Malayalam,Spanish,210,Yes,21
919915230028,mnawmw,ttwcfr,Pakisthan,mnawmw@gmail.com,Hindi,Urdu,61,No,71
919915230029,onfcci,nyuvve,India,onfcci@gmail.com,Malayalam,Urdu,362,No,54
919915230030,zsbsfs,pmqwix,India,zsbsfs@gmail.com,English,Tamil,265,Yes,60
919915230031,fjoswy,hisdnz,India,fjoswy@gmail.com,English,Urdu,314,No,31
919915230032,msbcek,iyzedl,Pakisthan,msbcek@gmail.com,English,Mandarin,114,No,60
919915230033,ukdsbq,qfaizv,Korea,ukdsbq@gmail.com,Malayalam,Tamil,116,Yes,28
919915230034,hflohf,rjymzr,USA,hflohf@gmail.com,Malayalam,Mandarin,227,No,43
919915230035,hxtecc,wkcuzk,USA,hxtecc@gmail.com,English,Tamil,49,Yes,24
919915230036,jqczuh,mstgmr,USA,jqczuh@gmail.com,Korean,Urdu,199,Yes,61
919915230037,wxxdeb,xxxjtf,USA,wxxdeb@gmail.com,Malayalam,Mandarin,392,No,64
919915230038,agatsq,emxkvq,USA,agatsq@gmail.com,Malayalam,Urdu,175,Yes,36
919915230039,yhsqsp,zseaxe,USA,yhsqsp@gmail.com,Korean,Urdu,200,No,31
919915230040,kujinx,hzqdva,Korea,kujinx@gmail.com,Korean,Urdu,79,Yes,63
919915230041,lsiusd,fcrhco,India,lsiusd@gmail.com,English,Mandarin,147,No,27
919915230042,bwaopd,mcrriz,India,bwaopd@gmail.com,Hindi,Urdu,262,No,15
919915230043,ellbob,mukysc,Pakisthan,ellbob@gmail.com,English,Mandarin,153,No,72
919915230044,mevvjl,ebmhvx,Korea,mevvjl@gmail.com,Malayalam,Tamil,202,No,54
919915230045,tvnffn,zxlnoi,Korea,tvnffn@gmail.com,Hindi,Spanish,78,No,43
919915230046,isseiz,hilxhg,USA,isseiz@gmail.com,Hindi,Spanish,350,Yes,44
919915230047,kxgzmg,dqtrrm,Pakisthan,kxgzmg@gmail.com,Korean,Urdu,232,No,25
919915230048,lmtzpe,nbdsrb,Pakisthan,lmtzpe@gmail.com,Hindi,Spanish,368,No,61
919915230049,jzrpey,fbibig,Pakisthan,jzrpey@gmail.com,English,Mandarin,88,No,22
919915230050,nhwsne,vigmmp,USA,nhwsne@gmail.com,Hindi,Tamil,67,No,17
