msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919917750001,cfoixd,iqryex,USA,cfoixd@gmail.com,Hindi,Tamil,77,No,56
919917750002,dyvkwk,jwpfny,Korea,dyvkwk@gmail.com,English,Urdu,241,Yes,45
919917750003,ysmqyj,rmhukp,Pakisthan,ysmqyj@gmail.com,Korean,Urdu,89,Yes,37
919917750004,eogacf,kkqmph,USA,eogacf@gmail.com,Korean,Tamil,33,Yes,41
919917750005,mdahua,eglmpm,India,mdahua@gmail.com,English,Spanish,34,No,43
919917750006,ajjpfx,oeprxh,Pakisthan,ajjpfx@gmail.com,Malayalam,Tamil,318,No,65
919917750007,illmpn,tbundo,Pakisthan,illmpn@gmail.com,Malayalam,Spanish,286,No,37
919917750008,efrtvt,chuuet,Korea,efrtvt@gmail.com,English,Mandarin,272,No,38
919917750009,zztzdb,gwnrvx,Pakisthan,zztzdb@gmail.com,Malayalam,Urdu,41,No,19
919917750010,birrgz,ymhghk,USA,birrgz@gmail.com,English,Urdu,203,No,36
919917750011,fdodkq,tiufvf,USA,fdodkq@gmail.com,English,Spanish,268,Yes,38
919917750012,pfhyne,qygghm,India,pfhyne@gmail.com,Malayalam,Spanish,349,Yes,59
919917750013,mshhcm,powtri,Pakisthan,mshhcm@gmail.com,Malayalam,Mandarin,10,Yes,56
919917750014,jynowu,dnwtam,USA,jynowu@gmail.com,Hindi,Mandarin,228,No,54
919917750015,neihce,appwxe,India,neihce@gmail.com,Hindi,Urdu,313,No,37
919917750016,rnvruu,koytsg,USA,rnvruu@gmail.com,Korean,Mandarin,299,No,51
919917750017,fpcpxw,rwldpc,Pakisthan,fpcpxw@gmail.com,Malayalam,Mandarin,137,No,27
919917750018,zklwxx,ucrszp,Pakisthan,zklwxx@gmail.com,Korean,Mandarin,49,Yes,50
919917750019,gehivm,jzfzds,India,gehivm@gmail.com,Hindi,Urdu,291,Yes,38
919917750020,ahdruc,zawicb,Pakisthan,ahdruc@gmail.com,Malayalam,Urdu,70,Yes,63
919917750021,hewulu,kktiax,India,hewulu@gmail.com,Hindi,Mandarin,32,No,45
919917750022,jpgqtt,cwodzw,Korea,jpgqtt@gmail.com,English,Spanish,50,Yes,20
919917750023,ziiewv,kjpmmm,India,ziiewv@gmail.com,Hindi,Spanish,276,Yes,50
919917750024,xtjzhi,lmgwrv,India,xtjzhi@gmail.com,Hindi,Tamil,131,No,69
919917750025,mqguqc,rfrfnu,USA,mqguqc@gmail.com,English,Spanish,39,Yes,20
919917750026,kqmweg,rybpjq,India,kqmweg@gmail.com,Korean,Spanish,258,Yes,59
919917750027,tjiovk,mdvewt,India,tjiovk@gmail.com,Korean,Tamil,159,Yes,47
919917750028,oklsah,drdxyl,India,oklsah@gmail.com,Hindi,Urdu,242,Yes,35
919917750029,sxddiw,ehqksr,India,sxddiw@gmail.com,Malayalam,Mandarin,285,No,41
919917750030,pxcjso,gjuyiw,Korea,pxcjso@gmail.com,English,Urdu,246,Yes,43
919917750031,pjifmr,jvveeg,Pakisthan,pjifmr@gmail.com,Korean,Tamil,130,Yes,27
919917750032,kkrimk,wwywmu,USA,kkrimk@gmail.com,Malayalam,Tamil,125,No,24
919917750033,wvfmwy,gmwwgd,USA,wvfmwy@gmail.com,Malayalam,Spanish,46,Yes,19
919917750034,hqmrqe,zfxmot,USA,hqmrqe@gmail.com,Korean,Tamil,156,Yes,51
919917750035,cajddn,loasil,USA,cajddn@gmail.com,Malayalam,Urdu,100,Yes,61
919917750036,idxxvq,bjqwfn,USA,idxxvq@gmail.com,Malayalam,Mandarin,152,No,34
919917750037,bsfhxa,luuoay,Pakisthan,bsfhxa@gmail.com,Hindi,Mandarin,285,No,18
919917750038,qihpwq,tyjqpy,Korea,qihpwq@gmail.com,Malayalam,Mandarin,46,Yes,15
919917750039,wdyktk,obrnnz,Pakisthan,wdyktk@gmail.com,Hindi,Mandarin,167,No,58
919917750040,iaeezk,hfyytj,Korea,iaeezk@gmail.com,Malayalam,Mandarin,353,Yes,32
919917750041,bodffy,xmblql,Pakisthan,bodffy@gmail.com,Korean,Urdu,152,No,53
919917750042,scipbs,cazsrj,USA,scipbs@gmail.com,English,Urdu,206,Yes,71
919917750043,srqrwv,gorlgh,India,srqrwv@gmail.com,Hindi,Urdu,356,Yes,72
919917750044,rlgqmw,huewzp,Pakisthan,rlgqmw@gmail.com,Korean,Spanish,351,Yes,25
919917750045,ewuqbu,zprjao,Pakisthan,ewuqbu@gmail.com,Hindi,Urdu,216,Yes,63
919917750046,ywjjjl,sgiwok,India,ywjjjl@gmail.com,Korean,Mandarin,154,Yes,74
919917750047,zvzbri,znsyia,USA,zvzbri@gmail.com,Korean,Urdu,323,No,71
919917750048,vtddtz,vruzaq,Pakisthan,vtddtz@gmail.com,Hindi,Mandarin,68,Yes,19
919917750049,nwqroq,xvrrxs,Korea,nwqroq@gmail.com,Hindi,Urdu,384,No,26
919917750050,kcfobr,zwxdrr,USA,kcfobr@gmail.com,Malayalam,Urdu,135,No,23
