msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919950380001,gecgza,xpixsb,India,gecgza@gmail.com,Malayalam,Mandarin,136,No,65
919950380002,zsxmxv,intzqa,Korea,zsxmxv@gmail.com,Hindi,Mandarin,56,Yes,53
919950380003,abdwcw,kaddxx,USA,abdwcw@gmail.com,Korean,Urdu,353,No,20
919950380004,vqxolb,rvpfrd,India,vqxolb@gmail.com,English,Tamil,220,Yes,72
919950380005,vzurlz,tkynmj,Pakisthan,vzurlz@gmail.com,English,Tamil,375,No,36
919950380006,otlbuj,cdbzai,Korea,otlbuj@gmail.com,Malayalam,Tamil,373,Yes,72
919950380007,nxxdpj,gpdqio,Korea,nxxdpj@gmail.com,Malayalam,Urdu,86,No,66
919950380008,mztssu,sibtdm,Korea,mztssu@gmail.com,Hindi,Urdu,227,Yes,64
919950380009,mxwugk,pqdrae,India,mxwugk@gmail.com,Hindi,Urdu,10,No,49
919950380010,ngheab,lwaiua,Korea,ngheab@gmail.com,Hindi,Mandarin,146,No,71
919950380011,uhmyzk,acbvff,India,uhmyzk@gmail.com,Korean,Spanish,63,Yes,65
919950380012,dfjxam,rwjnoe,Pakisthan,dfjxam@gmail.com,Korean,Urdu,33,Yes,67
919950380013,whjdsx,ckujnt,Korea,whjdsx@gmail.com,Malayalam,Spanish,342,No,22
919950380014,ttbvln,ltthin,India,ttbvln@gmail.com,Malayalam,Tamil,209,No,16
919950380015,zpmbci,urkpcl,USA,zpmbci@gmail.com,English,Urdu,18,No,59
919950380016,jdcbei,uwafrv,Korea,jdcbei@gmail.com,English,Spanish,156,Yes,53
919950380017,padcgm,eeaspt,India,padcgm@gmail.com,English,Mandarin,126,No,65
919950380018,ylugxh,carrwg,Korea,ylugxh@gmail.com,Hindi,Mandarin,176,No,15
919950380019,uzcimf,wezvwh,Korea,uzcimf@gmail.com,English,Spanish,188,Yes,60
919950380020,ygzlkd,nxepdc,Pakisthan,ygzlkd@gmail.com,Hindi,Urdu,137,No,25
919950380021,svhwyo,zkxans,Pakisthan,svhwyo@gmail.com,English,Urdu,76,No,49
919950380022,pvteca,jfipgt,USA,pvteca@gmail.com,English,Tamil,41,No,69
919950380023,fftjzc,kegpqq,Pakisthan,fftjzc@gmail.com,Malayalam,Tamil,38,Yes,18
919950380024,ssjgfu,czocmz,Korea,ssjgfu@gmail.com,Malayalam,Spanish,292,Yes,32
919950380025,uqlwax,lnxzzh,USA,uqlwax@gmail.com,Hindi,Tamil,214,No,16
919950380026,msllbd,dydojz,India,msllbd@gmail.com,English,Tamil,203,No,29
919950380027,kwzcng,lynrrx,Korea,kwzcng@gmail.com,English,Mandarin,19,No,54
919950380028,kctuhw,joobwf,USA,kctuhw@gmail.com,English,Spanish,308,Yes,72
919950380029,ydzlfh,gozzui,India,ydzlfh@gmail.com,Malayalam,Tamil,203,Yes,47
919950380030,aexkjr,tmogqk,Pakisthan,aexkjr@gmail.com,Korean,Urdu,371,Yes,37
919950380031,xcoqit,wlrywy,Pakisthan,xcoqit@gmail.com,Korean,Spanish,158,Yes,73
919950380032,spjxrp,ooycmm,India,spjxrp@gmail.com,Malayalam,Mandarin,345,Yes,73
919950380033,jvhypw,yyvemp,Korea,jvhypw@gmail.com,Korean,Spanish,100,Yes,57
919950380034,czqbxv,plxseq,USA,czqbxv@gmail.com,Hindi,Tamil,264,Yes,62
919950380035,xnitus,sufhjt,Korea,xnitus@gmail.com,Malayalam,Mandarin,158,Yes,67
919950380036,bzxhqd,axlkfj,Korea,bzxhqd@gmail.com,Hindi,Urdu,303,Yes,27
919950380037,ghxrri,eyiigt,USA,ghxrri@gmail.com,English,Mandarin,358,No,31
919950380038,rcxqoy,vpbhbd,Pakisthan,rcxqoy@gmail.com,Malayalam,Mandarin,168,Yes,19
919950380039,eqgdka,pqvmcl,India,eqgdka@gmail.com,Korean,Tamil,259,Yes,43
919950380040,lkcbvf,nlakbb,India,lkcbvf@gmail.com,Hindi,Spanish,155,No,46
919950380041,keekjz,pbrpge,Pakisthan,keekjz@gmail.com,Hindi,Mandarin,268,Yes,45
919950380042,qnmocy,lpjerq,India,qnmocy@gmail.com,Malayalam,Urdu,205,Yes,66
919950380043,qcbnyp,kuijxw,USA,qcbnyp@gmail.com,Hindi,Urdu,311,Yes,24
919950380044,vgbsmz,tqprlt,Pakisthan,vgbsmz@gmail.com,Korean,Urdu,90,No,64
919950380045,caemxi,svogpy,Korea,caemxi@gmail.com,Hindi,Tamil,127,No,43
919950380046,kniifn,uczote,Pakisthan,kniifn@gmail.com,Korean,Urdu,332,No,51
919950380047,hsagzu,hkcgpq,Korea,hsagzu@gmail.com,Malayalam,Urdu,288,Yes,57
919950380048,fzpfow,rqwlse,Korea,fzpfow@gmail.com,English,Urdu,279,No,34
919950380049,nbbrro,rxsmbl,USA,nbbrro@gmail.com,Malayalam,Spanish,64,Yes,64
919950380050,zunhmx,chpacy,USA,zunhmx@gmail.com,Korean,Mandarin,210,Yes,58
