msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919959620001,rxxzml,eozmvt,USA,rxxzml@gmail.com,Korean,Tamil,227,No,70
919959620002,qlihzg,wzndec,USA,qlihzg@gmail.com,English,Urdu,50,No,19
919959620003,ggfhaj,eknjrc,Pakisthan,ggfhaj@gmail.com,Malayalam,Tamil,361,Yes,38
919959620004,sxkcma,whhlum,USA,sxkcma@gmail.com,Korean,Mandarin,305,No,45
919959620005,ugegmi,uddydx,USA,ugegmi@gmail.com,Malayalam,Spanish,60,No,53
919959620006,pylfgm,jovfku,Pakisthan,pylfgm@gmail.com,English,Mandarin,192,Yes,51
919959620007,yptwle,ijpdxo,Pakisthan,yptwle@gmail.com,Korean,Urdu,376,No,68
919959620008,daxdne,kgibxe,Korea,daxdne@gmail.com,Malayalam,Tamil,26,Yes,70
919959620009,szmwxs,rlbpmw,USA,szmwxs@gmail.com,English,Spanish,343,Yes,58
919959620010,hcfqhq,cwtfun,India,hcfqhq@gmail.com,English,Spanish,299,Yes,59
919959620011,wmusce,omhrev,USA,wmusce@gmail.com,Malayalam,Spanish,365,Yes,39
919959620012,sbtlle,jrljpv,Pakisthan,sbtlle@gmail.com,Malayalam,Spanish,360,Yes,54
919959620013,gvswja,moayrs,USA,gvswja@gmail.com,Malayalam,Tamil,257,Yes,18
919959620014,ukcgte,wwubvp,India,ukcgte@gmail.com,Malayalam,Mandarin,47,Yes,67
919959620015,yizlpu,okbazs,USA,yizlpu@gmail.com,English,Spanish,9,No,45
919959620016,rczdbs,yldiqw,India,rczdbs@gmail.com,Malayalam,Tamil,344,Yes,67
919959620017,nbkpuz,rzbyef,Pakisthan,nbkpuz@gmail.com,Korean,Spanish,129,Yes,29
919959620018,jajkjs,xanvif,USA,jajkjs@gmail.com,Korean,Urdu,38,Yes,44
919959620019,jgjloj,jyszdi,India,jgjloj@gmail.com,Hindi,Tamil,265,No,41
919959620020,ydcifd,mpixdg,Korea,ydcifd@gmail.com,Korean,Mandarin,302,Yes,43
919959620021,wdvatx,syqxdh,India,wdvatx@gmail.com,Hindi,Mandarin,363,Yes,44
919959620022,jntesg,wlpmrn,India,jntesg@gmail.com,Hindi,Tamil,225,No,67
919959620023,xukzjw,qvciab,Korea,xukzjw@gmail.com,Korean,Spanish,53,No,71
919959620024,jrhtnd,gijroa,Pakisthan,jrhtnd@gmail.com,Korean,Mandarin,233,Yes,55
919959620025,yroned,zuofgj,USA,yroned@gmail.com,Hindi,Tamil,280,No,42
919959620026,aspkrp,sduyqy,Pakisthan,aspkrp@gmail.com,English,Urdu,142,No,22
919959620027,wkshva,npqmzf,India,wkshva@gmail.com,Korean,Spanish,77,Yes,35
919959620028,mgjsed,erbdgw,India,mgjsed@gmail.com,Hindi,Urdu,131,No,64
919959620029,nsnper,eojhuz,USA,nsnper@gmail.com,Hindi,Spanish,145,Yes,42
919959620030,fveaor,dphres,Pakisthan,fveaor@gmail.com,Malayalam,Spanish,306,Yes,69
919959620031,swxrus,spubmz,Korea,swxrus@gmail.com,English,Urdu,301,Yes,28
919959620032,lgeogq,gipyks,Pakisthan,lgeogq@gmail.com,English,Mandarin,368,No,61
919959620033,xvjchd,rbrctx,USA,xvjchd@gmail.com,Hindi,Tamil,35,Yes,26
919959620034,acqgpd,oyttui,Korea,acqgpd@gmail.com,Malayalam,Urdu,126,Yes,58
919959620035,nsvcnc,gactuv,USA,nsvcnc@gmail.com,Malayalam,Spanish,8,Yes,74
919959620036,britgz,wphyld,India,britgz@gmail.com,Malayalam,Urdu,236,No,25
919959620037,uvxamk,ehtzyt,India,uvxamk@gmail.com,Hindi,Spanish,154,No,21
919959620038,tavjwl,cwmlba,USA,tavjwl@gmail.com,Hindi,Mandarin,203,Yes,65
919959620039,wfagyy,yhrqhl,Pakisthan,wfagyy@gmail.com,Malayalam,Tamil,269,Yes,33
919959620040,vgsuyf,dwuukx,USA,vgsuyf@gmail.com,Hindi,Mandarin,352,Yes,31
919959620041,nabkof,qwevwa,USA,nabkof@gmail.com,Malayalam,Mandarin,120,Yes,46
919959620042,upbkiv,mwqqxj,Pakisthan,upbkiv@gmail.com,Malayalam,Urdu,143,No,48
919959620043,vlmsdf,pawnaq,Pakisthan,vlmsdf@gmail.com,Malayalam,Spanish,343,No,27
919959620044,kmbpse,ideoqt,Korea,kmbpse@gmail.com,Korean,Mandarin,267,No,61
919959620045,tnxrzk,hoitdy,Pakisthan,tnxrzk@gmail.com,Korean,Urdu,60,Yes,30
919959620046,jkdczh,tnersc,Pakisthan,jkdczh@gmail.com,English,Mandarin,72,Yes,47
919959620047,lipnaz,eagqxf,India,lipnaz@gmail.com,Korean,Urdu,118,No,37
919959620048,elfycw,bkfqok,USA,elfycw@gmail.com,Korean,Tamil,250,Yes,51
919959620049,vnmvhf,uzzcoy,Korea,vnmvhf@gmail.com,English,Tamil,157,Yes,69
919959620050,bxailk,pfffje,Korea,bxailk@gmail.com,Hindi,Urdu,126,No,41
