msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919963120001,odkahq,jqvkay,Korea,odkahq@gmail.com,Korean,Spanish,337,Yes,43
919963120002,hordbn,msabpb,Pakisthan,hordbn@gmail.com,English,Tamil,217,Yes,56
919963120003,bkgshf,qoegnm,USA,bkgshf@gmail.com,Hindi,Tamil,152,No,46
919963120004,yrioii,eidicj,Pakisthan,yrioii@gmail.com,English,Mandarin,226,No,31
919963120005,gohdka,jpyapt,India,gohdka@gmail.com,Malayalam,Spanish,384,Yes,44
919963120006,duupwj,bcjjex,Korea,duupwj@gmail.com,English,Tamil,368,No,25
919963120007,bqxggl,tpkrlf,Pakisthan,bqxggl@gmail.com,Malayalam,Urdu,157,Yes,65
919963120008,ihswra,ltawvh,India,ihswra@gmail.com,Hindi,Spanish,247,Yes,64
919963120009,kgncjz,pcfenu,Korea,kgncjz@gmail.com,Malayalam,Tamil,355,No,33
919963120010,ufwmhw,fdgoun,Korea,ufwmhw@gmail.com,Hindi,Spanish,314,Yes,19
919963120011,hxshud,xafxvl,India,hxshud@gmail.com,Malayalam,Urdu,6,No,38
919963120012,xgsklb,dszgho,Pakisthan,xgsklb@gmail.com,Hindi,Urdu,169,No,22
919963120013,vhlmcq,qooxwg,Pakisthan,vhlmcq@gmail.com,English,Urdu,96,Yes,23
919963120014,ganole,yxnsbq,USA,ganole@gmail.com,Hindi,Tamil,84,No,71
919963120015,yfyzzc,lnxrwv,India,yfyzzc@gmail.com,English,Urdu,156,No,50
919963120016,fgksfz,hlwegl,India,fgksfz@gmail.com,Hindi,Mandarin,253,Yes,42
919963120017,vgmjby,yucdkj,Pakisthan,vgmjby@gmail.com,Malayalam,Tamil,367,No,70
919963120018,oyqsls,ahthan,India,oyqsls@gmail.com,English,Tamil,379,Yes,39
919963120019,ncixlf,krcjbq,Korea,ncixlf@gmail.com,English,Spanish,293,Yes,28
919963120020,osqxwi,rucqqi,USA,osqxwi@gmail.com,Hindi,Tamil,315,No,70
919963120021,ifpatc,uamwik,Korea,ifpatc@gmail.com,Malayalam,Spanish,233,Yes,25
919963120022,taerrs,qhyckv,Pakisthan,taerrs@gmail.com,English,Tamil,321,No,73
919963120023,fmoohe,gehmhz,Korea,fmoohe@gmail.com,Korean,Spanish,78,Yes,30
919963120024,aktneo,kvhpka,India,aktneo@gmail.com,Malayalam,Urdu,108,Yes,42
919963120025,efppyb,dcaiby,India,efppyb@gmail.com,Hindi,Mandarin,121,No,60
919963120026,yyfpps,ucdctk,India,yyfpps@gmail.com,English,Tamil,151,Yes,58
919963120027,uhvvsw,ajytic,USA,uhvvsw@gmail.com,Malayalam,Spanish,273,Yes,27
919963120028,vtidsd,gjphcz,India,vtidsd@gmail.com,English,Spanish,235,No,59
919963120029,wzueek,kkywxs,Korea,wzueek@gmail.com,Hindi,Tamil,158,No,30
919963120030,bwxmpm,mpuqgt,Korea,bwxmpm@gmail.com,English,Spanish,209,No,58
919963120031,tpzjsa,qucjnk,USA,tpzjsa@gmail.com,Hindi,Spanish,95,Yes,40
919963120032,vdjbdq,kldagd,India,vdjbdq@gmail.com,English,Spanish,196,No,57
919963120033,zbcskf,hgukyi,Korea,zbcskf@gmail.com,Korean,Tamil,376,Yes,58
919963120034,hocrpg,ghdonw,Korea,hocrpg@gmail.com,Korean,Spanish,197,No,60
919963120035,qelqjq,eqbqgw,USA,qelqjq@gmail.com,Hindi,Spanish,391,Yes,17
919963120036,flrxrq,zquqst,Pakisthan,flrxrq@gmail.com,English,Spanish,168,Yes,62
919963120037,muspjy,ttodcq,Pakisthan,muspjy@gmail.com,English,Spanish,214,Yes,31
919963120038,yujtxh,tnlghn,USA,yujtxh@gmail.com,Korean,Spanish,27,No,24
919963120039,qiraho,behthg,USA,qiraho@gmail.com,English,Mandarin,156,Yes,43
919963120040,qbsjbd,zowcui,Pakisthan,qbsjbd@gmail.com,Korean,Mandarin,310,Yes,26
919963120041,xkvsjk,gadmkm,India,xkvsjk@gmail.com,Korean,Spanish,126,No,74
919963120042,qgamkn,mwqotw,USA,qgamkn@gmail.com,Hindi,Mandarin,13,No,39
919963120043,gfoxzr,shmysv,India,gfoxzr@gmail.com,Hindi,Tamil,82,No,68
919963120044,ksfnnw,kkbtys,Pakisthan,ksfnnw@gmail.com,Malayalam,Urdu,146,Yes,63
919963120045,dhxnto,dhtjfr,Korea,dhxnto@gmail.com,Korean,Spanish,84,No,64
919963120046,leqhct,jhpncg,Korea,leqhct@gmail.com,English,Urdu,24,No,58
919963120047,txthzu,bdlfnt,USA,txthzu@gmail.com,English,Mandarin,305,No,16
919963120048,yuwyng,enrduk,India,yuwyng@gmail.com,Hindi,Spanish,82,No,20
919963120049,iuiqzr,vuwijg,USA,iuiqzr@gmail.com,Malayalam,Tamil,96,Yes,34
919963120050,uzzrlt,reapyb,Korea,uzzrlt@gmail.com,Korean,Mandarin,393,Yes,32
